Rod Load,Displacement,Time
4085.7,0.10168,1.0
4078.987201520703,0.11169277797186351,2.0
4065.3971322028524,0.1319636600967401,3.0
4044.9577609711646,0.16245092806084963,4.0
4017.7004148931924,0.20310785456068575,5.0
3983.65968903072,0.25388283776824305,6.0
3942.8523712145065,0.3147195379148315,7.0
3895.323286863477,0.3855570155598586,8.0
3844.8655123436333,0.4663298711256827,9.0
3804.2155120480834,0.5569683852981925,10.0
3759.174951662593,0.6573986599091272,11.0
3709.779843188229,0.7675427589344592,12.0
3717.787591949127,0.887318849263796,13.0
3758.562596513683,1.016641340912813,14.0
3830.1230721396723,1.155421026371436,15.0
3966.4472492152327,1.3035652188003684,16.0
4032.3113117318403,1.4609778888074494,17.0
4014.011933819439,1.6275597995557955,18.0
3940.2147102195904,1.8032086399738678,19.0
3780.212133890314,1.987819155858399,20.0
3581.2045859678174,2.1812832786782934,21.0
3589.997342040176,2.383490251907182,22.0
3638.0126623909005,2.594326754729273,23.0
3716.852214493303,2.8136770229815062,24.0
3826.6317730183864,3.0414229672107322,25.0
3964.829001950251,3.277444287741832,26.0
4118.680585588466,3.5216185866674237,27.0
4263.524371338338,3.77382147668537,28.0
4466.868905293373,4.033926686723837,29.0
4611.744967576065,4.301806164307991,30.0
4817.959345621246,4.577330174634394,31.0
5096.750071564876,4.860367396331989,32.0
5432.690840078515,5.150785013899588,33.0
5715.189496864887,5.448448806820738,34.0
5880.227996803175,5.753223235367006,35.0
5915.74477434033,6.064971523110006,36.0
5918.558425598753,6.383555736170914,37.0
5887.411185913474,6.7088368592456895,38.0
5850.133592426643,7.040674868450164,39.0
5890.163468727916,7.378928801037031,40.0
5959.9262140644505,7.723456822043528,41.0
6165.730009811059,8.074116287933448,42.0
6441.891656476965,8.430763807303627,43.0
6741.483659718496,8.793255298729155,44.0
6930.605492203272,9.161446045826422,45.0
6968.0197592591485,9.535190749617191,46.0
6918.546465062107,9.9143435782801,47.0
6862.902200882264,10.298758214379877,48.0
6760.955111287516,10.688287899666527,49.0
6699.813247370663,11.082785477540444,50.0
6718.936999193384,11.482103433280427,51.0
6754.996449386821,11.886093932134678,52.0
6778.418958636847,12.29460885537563,53.0
6778.659183576922,12.7074998344211,54.0
6778.936138203974,13.124618283126132,55.0
6785.3513879442835,13.54581542834965,56.0
6817.7105624950655,13.970942338902011,57.0
6967.247471444756,14.39984995297923,58.0
7286.258482381796,14.832389104190904,59.0
7642.231471086756,15.268410546288,60.0
8006.580151623677,15.707764976698247,61.0
8403.073777241994,16.150303058975407,62.0
8601.684027370637,16.595875444269335,63.0
8746.772921761567,17.044332791923722,64.0
8702.45217028926,17.49552578930677,65.0
8513.101087946696,17.949305170980974,66.0
8274.05267487878,18.405521737316402,67.0
8123.688270962928,18.86402637265193,68.0
8067.021319804132,19.324670063107366,69.0
8084.903740650745,19.787303914148477,70.0
8137.9319049150245,20.25177916800647,71.0
8145.732527454099,20.717947221051386,72.0
8125.746875028662,21.185659641217356,73.0
8073.026079122493,21.654768185577844,74.0
8023.532135695435,22.12512481816465,75.0
7991.32359402798,22.596581728124857,76.0
7991.598250783899,23.06899134830705,77.0
7991.960063698575,23.542206374365673,78.0
7895.713068768356,24.016079784470584,79.0
7741.275031218609,24.490464859706314,80.0
7454.16342290143,24.96521520524213,81.0
7172.592273240001,25.44018477235197,82.0
6783.6542849356065,25.915227881359407,83.0
6382.183723939157,26.390199245579645,84.0
6063.373356484476,26.86495399632677,85.0
5939.585882731762,27.339347709051005,86.0
6001.018818414214,27.81323643066535,87.0
6217.161611475974,28.28647670811799,88.0
6357.885937971215,28.758925618260633,89.0
6413.245583799446,29.230440799059075,90.0
6421.287623667012,29.70088048218585,91.0
6378.963353209149,30.170103527029788,92.0
6326.432121875208,30.637969456151236,93.0
6323.655429355933,31.10433849220477,94.0
6340.288570361895,31.569071596345438,95.0
6363.195366574493,32.03203050812712,96.0
6363.463893753291,32.49307778689429,97.0
6357.7615461161695,32.95207685466118,98.0
6325.195867465386,33.408892040464536,99.0
6427.23600245938,33.86338862616805,100.0
6618.46072010768,34.31543289368813,101.0
6859.0459169219,34.76489217360208,102.0
7205.671504392571,35.211634895091926,103.0
7635.9148247463545,35.65553063716686,104.0
7981.17174916767,36.09645018109976,105.0
8072.01281934227,36.53426556400302,106.0
8006.950086172746,36.968850133461025,107.0
7820.013251659484,37.400078603126246,108.0
7658.888486496381,37.82782710917851,109.0
7612.326147248567,38.25197326753627,110.0
7626.373855051706,38.672396231702436,111.0
7690.713939971579,39.08897675111604,112.0
7684.004461605015,39.5015972298755,113.0
7653.5809308529,39.91014178568963,114.0
7623.338066814372,40.31449630890633,115.0
7613.95845844271,40.71454852146104,116.0
7650.955545747075,41.11018803558176,117.0
7647.033108471044,41.50130641208105,118.0
7544.411424479222,41.88779721806034,119.0
7373.340417832356,42.269556083848165,120.0
7135.882433918079,42.64648075899017,121.0
6736.165135143885,43.01847116710588,122.0
6371.010207547856,43.38542945942592,123.0
6018.074620851375,43.74726006682248,124.0
6004.014015249837,44.103869750145634,125.0
6113.929102906812,44.455167648680316,126.0
6263.164333341388,44.80106532653976,127.0
6332.820626056288,45.141476816815846,128.0
6331.031200767881,45.47631866331019,129.0
6306.405650303339,45.80550995967557,130.0
6294.494751387096,46.12897238580468,131.0
6294.679436186807,46.44663024130882,132.0
6294.941055647622,46.75841047594014,133.0
6295.138513207453,47.064242716818455,134.0
6280.683161464842,47.36405929233528,135.0
6258.7098900172405,47.65779525261927,136.0
6315.586280302448,47.945388386458205,137.0
6490.357659877157,48.226779234586836,138.0
6754.500195165007,48.50191109926251,139.0
7079.088340875619,48.77073005006538,140.0
7488.218551406549,49.0331849258735,141.0
7655.592451690509,49.289227332979166,142.0
7679.646190575669,49.538811639327385,143.0
7633.146596701662,49.78189496487275,144.0
7476.560219588434,50.01843716806688,145.0
7425.601977225874,50.24840082850316,146.0
7425.731832108001,50.471751225761864,147.0
7448.483019099354,50.68845631451255,148.0
7454.440336311021,50.89848669594593,149.0
7439.230074408908,51.10181558562186,150.0
7423.691696161342,51.298418777832566,151.0
7402.44985561001,51.48827460659447,152.0
7387.629281339183,51.671363903393626,153.0
7387.73178485571,51.84766995182116,154.0
7364.364943760458,52.017178439246344,155.0
7282.0373246967965,52.179877405684024,156.0
6701.204557428706,52.33575719002215,157.0
6838.61571736953,52.48481037378338,158.0
6443.623569797309,52.627031722600925,159.0
6182.051987282322,52.76241812559466,160.0
6182.126725891186,52.890968532838926,161.0
6182.197490634369,53.0126838911161,162.0
6182.29642477746,53.1275670781537,163.0
6182.390659449602,53.23562283554344,164.0
6182.478945669078,53.336857700542396,165.0
6182.540860428462,53.43127993695522,166.0
6182.591802014706,53.518899465295576,167.0
6182.638795228153,53.59972779242309,168.0
6182.6818476400285,53.67377794084868,169.0
6182.7209676615685,53.741064377898056,170.0
6182.75616450286,53.80160294491845,171.0
6182.787448131808,53.855410786708696,172.0
6206.314074757107,53.90250628134757,173.0
6243.561050992242,53.942908970588505,174.0
6274.656998196356,53.97663949098321,175.0
6299.621887677449,54.00371950588889,176.0
6318.476575617624,54.02417163850692,177.0
6331.242742422703,54.038019406093944,178.0
6337.942833274278,54.04528715547723,179.0
6338.6,54.046,180.0
6677.977719931839,54.040183758013164,181.0
7159.374337913706,54.02786489302316,182.0
7176.07453802722,54.00907045559637,183.0
7198.504238763915,53.98382802711456,184.0
7226.638508685875,53.952165665466055,185.0
7260.452039411912,53.914111852751866,186.0
7299.9191902315415,53.86969544507704,187.0
7134.235187100849,53.818945624491526,188.0
6868.917208865037,53.76189185313706,189.0
6574.4219851824355,53.69856382965108,190.0
6975.805250070168,53.628991447871655,191.0
6798.117420285589,53.55320475788132,192.0
6642.831411782897,53.471233929422915,193.0
6499.035100761666,53.38310921771449,194.0
6263.617409130099,53.288860931685946,195.0
6190.950748318277,53.18851940465474,196.0
5908.435390425293,53.08211496745473,197.0
5706.292217114563,52.96967792402749,198.0
5438.154472020886,52.85123852948245,199.0
5352.676412760999,52.72682697062817,200.0
5263.115806825744,52.59647334897583,201.0
5260.552616595466,52.46020766621089,202.0
5392.404985840473,52.318059812129206,203.0
5556.812128583776,52.170059555030036,204.0
5694.039401273549,52.016236534557386,205.0
5836.5795979289405,51.85662025697984,206.0
5898.936721133883,51.69124009289704,207.0
5937.425155005188,51.520125277360954,208.0
5918.0411476918625,51.34330491239832,209.0
5876.487179612244,51.16080797192061,210.0
5851.650540472843,50.972663309007295,211.0
5829.562614935602,50.778899665547605,212.0
5806.837423478824,50.579545684226005,213.0
5743.11022340949,50.374629922836725,214.0
5624.115730082078,50.16418087091188,215.0
5525.319299163214,49.94822696864886,216.0
5471.620456723937,49.726796628121775,217.0
5430.317212359782,49.499918256762285,218.0
5403.836597868948,49.26762028309588,219.0
5450.649681350462,49.02993118471766,220.0
5505.318693810972,48.786879518495034,221.0
5552.358535649672,48.53849395298128,222.0
5494.59398824011,48.28480330302635,223.0
5335.253702087481,48.025836566569765,224.0
4936.308832929556,47.76162296360066,225.0
4541.026429975968,47.49219197726968,226.0
4167.353812037889,47.21757339713593,227.0
3789.361832294655,46.937797364533054,228.0
3599.3683591170693,46.65289442003564,229.0
3533.3005238466235,46.362895553007384,230.0
3466.0149092857127,46.06783225321016,231.0
3403.334612978075,45.76773656445209,232.0
3357.06674379325,45.462641140249985,233.0
3296.5121153380255,45.152579301480216,234.0
3247.327059733486,44.8375850959884,235.0
3222.978018867884,44.51769336012654,236.0
3219.3377556873156,44.19293978218232,237.0
3219.094853463304,43.86336096766183,238.0
3212.581911942192,43.52899450638339,239.0
3186.7696280006503,43.189879041335075,240.0
3122.466779126044,42.846054339244965,241.0
2954.6353474335733,42.49756136280723,242.0
2800.1061056176336,42.14444234450148,243.0
2620.210634281279,41.786740861937844,244.0
2423.41778606763,41.42450191465323,245.0
2322.357650001986,41.05777200227705,246.0
2386.308938544739,40.686599203978716,247.0
2586.202999936022,40.31103325910062,248.0
2802.5548812729694,39.93112564887224,249.0
2970.1074113111804,39.54692967909333,250.0
3021.5072677695725,39.15850056366475,251.0
2926.536392456093,38.76589550883597,252.0
2702.0241285976617,38.36917379802956,253.0
2369.1457358128473,37.96839687709186,254.0
2090.9269599518207,37.563628439810095,255.0
1731.5373213584598,37.15493451352385,256.0
1604.6013073878657,36.74238354465015,257.0
1579.9453758627485,36.32604648392758,258.0
1579.7011609716144,35.905996871176924,259.0
1579.454831929861,35.48231091936101,260.0
1579.1096519747537,35.055067597717496,261.0
1642.0071077103094,34.624348713726064,262.0
1681.7918117146426,34.190238993659186,263.0
1782.1284745386233,33.752826161456106,264.0
1932.0089987268625,33.31220101564701,265.0
2169.1043464493396,32.868457504044585,266.0
2401.397222651606,32.421692795909074,267.0
2502.4262486638513,31.97200735128396,268.0
2494.70157748374,31.51950498718872,269.0
2369.906563528343,31.064292940348103,270.0
2178.864904056759,30.606481926127998,271.0
1986.4810616394418,30.146186193342167,272.0
1940.7724612808438,29.68352357458768,273.0
2013.8884119933996,29.21861553176209,274.0
2200.8577800505027,28.751587196412327,275.0
2570.2399230358046,28.282567404562922,276.0
2924.42635274099,27.811688725670404,277.0
3168.987858982479,27.339087485352163,278.0
3301.6804835512776,26.8649037815408,279.0
3402.2838845893716,26.389281493719114,280.0
3402.006609467964,25.912368284898374,281.0
3436.9108875852794,25.434315596010254,282.0
3407.8076703943575,24.95527863239425,283.0
3371.2656710861047,24.475416342075103,284.0
3307.419429804351,23.99489138554016,285.0
3209.519495748676,23.513870096744196,286.0
2954.059986431994,23.032522435089074,287.0
2734.0322117120813,22.551021928148472,288.0
2660.2455339577896,22.0695456049318,289.0
2682.469184055148,21.588273919509792,290.0
2812.0381142911406,21.107390664852062,291.0
3051.323540050261,20.6270828767606,292.0
3212.787876328216,20.147540727814913,293.0
3281.27381244842,19.66895741128257,294.0
3199.2409957151353,19.191529014984443,295.0
2942.71522934244,18.715454385146163,296.0
2662.040033527658,18.240934980305667,297.0
2360.8910065184004,17.768174715391726,298.0
2186.9374636404905,17.297379796130137,299.0
2139.3297296668284,16.828758543980065,300.0
2111.738675123167,16.362521211847305,301.0
2111.469116157481,15.898879790866966,302.0
2111.2008045486955,15.438047808593872,303.0
2143.0476615422167,14.980240118983346,304.0
2199.687282300002,14.525672684590198,305.0
2318.488365377628,14.07456235145681,306.0
2575.3211667242936,13.627126617203311,307.0
2754.0856079136815,13.183583392873647,308.0
2898.933039597938,12.744150759129438,309.0
2904.6324392160213,12.309046717419315,310.0
2823.8839240902903,11.878488936785782,311.0
2604.6941597447703,11.452694497000715,312.0
2474.6655293637323,11.031879628748673,313.0
2419.466569726989,10.616259451600373,314.0
2526.521346191668,10.2060477105385,315.0
2735.705294551748,9.801456511813473,316.0
3079.9144492444425,9.402696058919101,317.0
3314.945432045828,9.009974389484235,318.0
3506.7218364194227,8.62349711388049,319.0
3579.149843394803,8.243467156343419,320.0
3657.1285134607515,7.87008449939882,321.0
3688.2455209339687,7.503545932375614,322.0
3701.1386952921202,7.144044804769906,323.0
3700.8875666096,6.791770785207463,324.0
3686.0112958595664,6.446909626726445,325.0
3652.127707876268,6.109642939075304,326.0
3462.9799148890097,5.780147968688133,327.0
3241.892557633517,5.458597386966591,328.0
3164.612876231112,5.145159087455548,329.0
3184.604917849595,4.839995992461905,330.0
3299.8850465925843,4.543265869618779,331.0
3493.0258211371433,4.2551211588519475,332.0
3641.102654495419,3.975708810156977,333.0
3697.3695196225494,3.705170132544671,334.0
3667.5653733297504,3.4436406544613125,335.0
3533.034900091778,3.191249995938297,336.0
3345.505251425768,2.948121752672545,337.0
3165.7872996316205,2.714373392186749,338.0
2972.1525161232453,2.4901161621656827,339.0
2862.255405546334,2.2754550110136504,340.0
2815.5632728063797,2.0704885206269785,341.0
2792.24977258221,1.8753088513256078,342.0
2778.1116031148795,1.6900016988415898,343.0
2764.7327084921953,1.5146462632144975,344.0
2786.1524910977346,1.349315229401657,345.0
2809.417697965542,1.194074759368764,346.0
2831.1617380685493,1.04898449538853,347.0
3117.8841469861545,0.9140975742381473,348.0
3275.2512255750903,0.7894606519544385,349.0
3326.53103403713,0.675113938773833,350.0
3346.66565335264,0.5710912438592776,351.0
3346.6111680022045,0.4774200293902082,352.0
3346.5627149891357,0.39412147357243765,353.0
3346.5203039537596,0.32121054210599975,354.0
3346.483940358686,0.25869606763542197,355.0
3346.4536258247936,0.20658083669402183,356.0
3346.429358510686,0.16486168364634285,357.0
3346.4111331711174,0.13352959112630458,358.0
3452.275410928473,0.11256979646570961,359.0
4069.302569860248,0.10196190360756967,360.0
